Observed,strata,x-val,y-val,resource,StepLength,Bearing,CosTA
0,22,71,23,-0.6241829,24.5153013,-1.7761917,0.811769956
0,22,74,65,0.9701193,18.1107703,1.6814535,-0.953072912
0,23,57,67,0.0177486,30.4138127,2.3794461,-0.90458294
0,23,70,4,1.086609,42.9534632,-1.7818897,0.110431532
0,23,93,47,-1.797979,14.0356688,0.0713075,0.923742083
0,23,77,48,-0.5490462,2.8284271,2.3561945,-0.894427216
0,23,52,49,-1.963365,27.1661554,3.0309354,-0.977802411
0,23,87,45,-0.7248095,8.0622577,-0.124355,0.980580668
0,23,58,94,0.594885,52.3927476,1.9832068,-0.669964578
0,23,91,30,0.519384,20,-0.9272952,0.822192228
0,23,94,10,0.1011129,39,-1.1760052,0.656780785
0,23,83,53,-0.4681121,8.0622577,1.0516502,0.196116103
0,24,55,70,-0.5425753,31.3847097,2.6066376,0.175274352
0,24,96,72,0.4238644,22.8035085,0.9097532,0.954662453
0,24,98,67,-0.5123789,20.6155281,0.6823166,0.862954094
0,24,70,44,-1.179821,15.6204994,-2.4468544,-0.869163799
0,24,74,64,1.366997,12.8062485,2.2455373,0.511805186
0,24,66,6,1.258374,50.5964426,-1.8925469,-0.999314836
0,24,60,43,-1.548841,24.5967478,-2.677945,-0.732793492
0,24,90,52,-1.633972,8.2462113,-0.2449787,0.113546511
0,24,79,30,-0.3955455,24.1867732,-1.6951513,-0.972650236
0,24,83,58,-0.0586454,4.1231056,1.3258177,0.993532673
0,25,90,74,-1.055231,6.7082039,-1.1071487,-0.793878112
0,25,87,85,-0.2721697,5,1.5707963,0.982006445
0,25,95,29,0.4476587,51.623638,-1.4152015,-0.940878072
0,25,89,91,-1.441436,11.1803399,1.3909428,0.999948643
