latitude,longitude,elevation
  52.10215,-115.91261,1747.73633
  52.14051,-115.49584,1507.69055
  52.07570,-115.78595,1748.51184
  51.97556,-115.69061,1638.65845
  52.14464,-115.63690,1568.22205
  52.07557,-115.64462,1645.73010
  51.97353,-115.49611,1463.88513
  51.80698,-115.49056,2370.78174
  51.98296,-115.52603,1966.69336
  51.87333,-115.76986,1634.01477
  52.03149,-115.51500,1407.81689
  52.14732,-115.69729,1684.43079
  52.09770,-115.54090,1697.82373
  51.92263,-115.70476,1607.75122
  52.06317,-115.83055,1652.69397
  52.08584,-115.53794,1676.69934
  51.90745,-115.53925,1683.16907
  52.06671,-115.75730,1591.77942
  51.85129,-115.54292,2169.93652
  51.87649,-115.86648,1841.04431
  52.14884,-115.76681,1726.05823
  51.86808,-115.49026,1813.84094
  51.80242,-115.89741,2177.09473
  52.01393,-115.88555,1917.86890
  51.95733,-115.62700,1560.29077
  52.08080,-115.50499,1641.00867
  52.07693,-115.71820,1596.66956
  51.97051,-115.74619,1798.66650
  51.98893,-115.76219,1706.09131
  52.11066,-115.60887,1634.00439
  51.85823,-115.66181,2568.14941
  51.76062,-115.89940,2759.82983
  52.03435,-115.58966,1546.68433
  51.82867,-115.70030,1902.48596
  51.76726,-115.60165,1752.71008
  51.75831,-115.91033,2452.35229
  51.90722,-115.79623,2315.62109
  51.75012,-115.73136,2195.02393
  51.81994,-115.64964,2108.53296
  52.00022,-115.79442,1762.67053
  51.91047,-115.86879,2170.88647
  51.90421,-115.71654,1608.83337
  52.12409,-115.75711,1569.02380
  51.88285,-115.62804,2078.28198
  52.12111,-115.75827,1549.09680
  51.76675,-115.78145,2164.98779
  52.14364,-115.50901,1504.65674
  52.09548,-115.85244,1635.80017
  51.81417,-115.69670,2088.83105
  52.11550,-115.67887,1669.83337
  52.06344,-115.67054,1487.93433
  51.82132,-115.49287,2227.87036
  51.99391,-115.55287,1462.92322
  51.90336,-115.60774,1909.04260
  52.15107,-115.56200,1525.94360
  51.90980,-115.66655,1859.12244
  51.93514,-115.68694,1551.00000
  51.91605,-115.80191,2077.23926
  52.07608,-115.59894,1579.32336
  52.07815,-115.86683,1650.78918
  52.09447,-115.74101,1594.34216
  51.99946,-115.55340,1439.90686
  52.04812,-115.81646,1639.67920
  52.01740,-115.48295,1393.46777
  51.98408,-115.52878,1982.74109
  51.73315,-115.65741,1737.15906
  52.08141,-115.82491,1706.25940
  51.90968,-115.89887,2065.40918
  52.12463,-115.55133,1555.21863
  51.75907,-115.83012,2428.10547
  51.78833,-115.72720,2045.93506
  51.85309,-115.51775,1880.12207
  51.88402,-115.63709,1727.29077
  51.81527,-115.85157,2331.88232
  52.05341,-115.87574,1869.92871
  51.95516,-115.53662,1536.37866
  51.86793,-115.86459,1690.14233
